,Date,Open*,High,Low,Close**,Volume,Market Cap
363,"Jun 17, 2018",26660,27087,26293,26577,119 911 000,2 163 124 402
364,"Jun 16, 2018",25724,26816,25603,26617,129 594 000,2 165 949 047
365,"Jun 15, 2018",26827,27009,25645,25806,146 774 000,2 099 437 997
366,"Jun 14, 2018",24591,27058,24564,26832,112 286 000,2 182 438 288
367,"Jun 13, 2018",26178,26233,24177,24596,116 406 000,2 000 097 469
368,"Jun 12, 2018",27025,27697,25955,26112,70 134 304,2 122 878 071
369,"Jun 11, 2018",27382,27911,26075,27181,66 282 200,2 209 325 340
370,"Jun 10, 2018",29950,30049,27159,27404,72 081 400,2 226 957 832
371,"Jun 09, 2018",31050,31302,29900,29900,76 867 504,2 429 212 278
372,"Jun 08, 2018",31264,31639,30359,31070,68 043 600,2 523 741 389
373,"Jun 07, 2018",31440,31847,31196,31267,75 098 896,2 539 156 759
374,"Jun 06, 2018",31756,31952,30771,31455,75 630 800,2 553 874 311
375,"Jun 05, 2018",31703,31986,30791,31742,79 467 904,2 576 539 878
376,"Jun 04, 2018",33073,33410,31233,31689,79 868 600,2 571 662 571
377,"Jun 03, 2018",32231,33465,32138,33119,75 377 104,2 687 151 581
378,"Jun 02, 2018",31534,32678,31095,32143,80 244 496,2 605 414 228
379,"Jun 01, 2018",30494,31602,30166,31535,82 723 800,2 555 571 143
380,"May 31, 2018",30342,31466,30090,30625,81 447 904,2 481 254 406
381,"May 30, 2018",31689,31914,29797,30414,74 927 104,2 463 589 131
382,"May 29, 2018",28837,31853,28614,31610,98 299 696,2 559 946 793
383,"May 28, 2018",31596,32037,28802,28844,84 403 696,2 335 386 097
384,"May 27, 2018",32172,32287,31318,31597,85 613 504,2 557 738 563
385,"May 26, 2018",33930,33948,32157,32179,86 956 800,2 604 223 098
386,"May 25, 2018",34445,34697,32997,33971,83 410 200,2 748 621 321
387,"May 24, 2018",34042,34899,32595,34371,93 794 600,2 780 392 632
388,"May 23, 2018",36045,36104,33137,34067,80 860 800,2 755 130 866
389,"May 22, 2018",38460,38640,35902,36039,78 835 696,2 913 949 652
390,"May 21, 2018",40251,40468,38466,38479,85 493 504,3 110 587 580
391,"May 20, 2018",38690,40425,38495,40208,94 187 200,3 249 625 600
392,"May 19, 2018",39593,40283,38572,38653,99 795 000,3 123 221 513
393,"May 18, 2018",38796,39643,37692,39589,125 453 000,3 198 179 209
394,"May 17, 2018",41303,41780,38522,38741,198 663 008,3 128 935 428
395,"May 16, 2018",42932,42932,39922,41260,177 326 000,3 331 616 742
396,"May 15, 2018",43218,45196,42423,42934,174 088 000,3 466 002 913
397,"May 14, 2018",41649,44755,39087,43271,157 680 992,3 492 421 258
398,"May 13, 2018",40411,42123,39507,41684,99 754 096,3 363 601 736
399,"May 12, 2018",38924,40924,37901,40453,77 808 896,3 263 504 720
400,"May 11, 2018",42161,42412,38961,39421,108 972 000,3 179 508 977
401,"May 10, 2018",44315,46073,42041,42134,100 427 000,3 397 588 841
402,"May 09, 2018",44313,44600,41656,44316,102 561 000,3 572 684 538
403,"May 08, 2018",45876,46700,43834,44378,98 776 400,3 576 889 004
404,"May 07, 2018",48574,48601,44833,45799,108 330 000,3 690 582 865
405,"May 06, 2018",50606,52114,48257,48522,97 449 000,3 909 156 981
406,"May 05, 2018",48632,50847,48569,50571,113 858 000,4 073 325 150
407,"May 04, 2018",50268,50268,48000,48632,150 130 000,3 916 238 170
408,"May 03, 2018",48156,51129,48000,50332,124 091 000,4 052 181 986
409,"May 02, 2018",47817,48265,46184,48149,129 694 000,3 872 724 832
410,"May 01, 2018",47316,47890,45547,47890,101 299 000,3 850 990 786
411,"Apr 30, 2018",49844,49943,47202,47277,118 497 000,3 800 869 265
412,"Apr 29, 2018",49430,50519,47862,49869,101 137 000,4 008 355 637
413,"Apr 28, 2018",47074,50029,46961,49411,101 078 000,3 970 612 935
414,"Apr 27, 2018",50429,50429,47157,47206,108 192 000,3 792 522 900
415,"Apr 26, 2018",46311,50412,45095,50386,132 803 000,4 047 072 446
416,"Apr 25, 2018",52781,52805,44923,46101,125 297 000,3 702 055 798
417,"Apr 24, 2018",50488,54129,50488,53013,140 408 992,4 256 166 616
418,"Apr 23, 2018",46690,52405,46084,50339,148 591 008,4 040 545 099
419,"Apr 22, 2018",44455,47845,44024,46771,100 845 000,3 753 277 069
420,"Apr 21, 2018",46126,46126,42739,44450,92 526 096,3 566 210 634
421,"Apr 20, 2018",43157,46441,42638,46041,113 061 000,3 693 054 506
