,Date,Open*,High,Low,Close**,Volume,Market Cap
341,"Jul 09, 2018",1834,1870,1821,1830,298 020 000,1 882 680 015
342,"Jul 08, 2018",1896,1912,1825,1829,249 696 992,1 881 532 787
343,"Jul 07, 2018",1840,1906,1760,1904,304 575 008,1 958 355 258
344,"Jul 06, 2018",1744,1847,1697,1847,448 598 016,1 899 357 966
345,"Jul 05, 2018",1683,1740,1675,1734,270 719 008,1 782 790 903
346,"Jul 04, 2018",1618,1745,1580,1677,275 641 984,1 723 578 443
347,"Jul 03, 2018",1659,1699,1611,1618,269 278 016,1 663 118 025
348,"Jul 02, 2018",1599,1696,1562,1664,290 288 000,1 709 547 690
349,"Jul 01, 2018",1612,1625,1554,1597,244 395 008,1 640 110 019
350,"Jun 30, 2018",1532,1655,1532,1610,253 512 000,1 653 112 002
351,"Jun 29, 2018",1459,1547,1425,1527,226 952 000,1 567 477 586
352,"Jun 28, 2018",1540,1556,1444,1454,189 564 992,1 492 513 346
353,"Jun 27, 2018",1484,1551,1431,1538,232 582 000,1 578 622 037
354,"Jun 26, 2018",1580,1592,1487,1488,211 464 992,1 526 417 528
355,"Jun 25, 2018",1488,1597,1469,1584,232 960 000,1 624 552 536
356,"Jun 24, 2018",1482,1511,1336,1488,270 734 016,1 526 188 813
357,"Jun 23, 2018",1466,1515,1429,1481,214 750 000,1 518 360 827
358,"Jun 22, 2018",1755,1760,1441,1462,455 676 992,1 498 783 810
359,"Jun 21, 2018",1717,1782,1664,1758,399 804 000,1 801 503 568
360,"Jun 20, 2018",1559,1727,1487,1727,356 187 008,1 769 583 451
361,"Jun 19, 2018",1511,1578,1505,1556,263 659 008,1 594 089 241
362,"Jun 18, 2018",1430,1543,1407,1509,235 592 992,1 545 154 993
363,"Jun 17, 2018",1447,1466,1422,1433,164 312 000,1 467 370 061
364,"Jun 16, 2018",1388,1477,1386,1451,232 232 000,1 485 188 958
365,"Jun 15, 2018",1408,1408,1366,1390,194 460 992,1 422 410 919
366,"Jun 14, 2018",1392,1424,1329,1406,280 585 984,1 438 312 758
367,"Jun 13, 2018",1487,1497,1320,1388,325 870 016,1 419 591 410
368,"Jun 12, 2018",1293,1622,1284,1485,686 019 008,1 518 396 722
369,"Jun 11, 2018",1263,1306,1234,1292,128 249 000,1 320 491 903
370,"Jun 10, 2018",1514,1514,1226,1264,173 647 008,1 291 459 490
371,"Jun 09, 2018",1543,1563,1513,1516,106 269 000,1 548 691 521
372,"Jun 08, 2018",1525,1563,1515,1541,131 086 000,1 573 950 619
373,"Jun 07, 2018",1528,1556,1513,1525,109 763 000,1 557 312 660
374,"Jun 06, 2018",1555,1565,1495,1525,110 481 000,1 556 819 815
375,"Jun 05, 2018",1523,1559,1487,1553,124 282 000,1 585 467 084
376,"Jun 04, 2018",1625,1635,1514,1523,140 176 992,1 554 168 315
377,"Jun 03, 2018",1581,1640,1581,1625,144 260 992,1 657 893 649
378,"Jun 02, 2018",1550,1607,1537,1582,143 692 000,1 613 762 675
379,"Jun 01, 2018",1534,1553,1514,1552,137 170 000,1 582 445 769
380,"May 31, 2018",1523,1558,1504,1531,122 136 000,1 560 500 252
381,"May 30, 2018",1531,1550,1480,1520,129 317 000,1 549 516 669
382,"May 29, 2018",1451,1549,1433,1522,157 135 008,1 551 361 668
383,"May 28, 2018",1520,1553,1431,1440,147 459 008,1 467 433 570
384,"May 27, 2018",1527,1535,1499,1521,132 207 000,1 549 279 314
385,"May 26, 2018",1520,1580,1503,1525,141 440 992,1 553 878 610
386,"May 25, 2018",1573,1573,1488,1519,141 072 000,1 546 881 772
387,"May 24, 2018",1491,1573,1459,1571,184 862 000,1 599 671 686
388,"May 23, 2018",1650,1663,1465,1495,172 594 000,1 522 642 859
389,"May 22, 2018",1768,1770,1646,1647,133 700 000,1 676 613 932
390,"May 21, 2018",1819,1823,1755,1768,125 063 000,1 799 578 413
391,"May 20, 2018",1770,1834,1752,1816,144 931 008,1 847 876 036
